Nadh is like a battery in a car. It is the energy that powers the car.	nadh	What is a good analogy to explain nadh to a business student?
A protein is like a construction worker. The protein's job is to build and repair the body's cells.	proteins	What is a good analogy to explain proteins to a business student?
DNA is like a recipe for a cake. It contains all of the instructions needed to create a cake.	dna	What is a good analogy to explain dna to a business student?
A glycogen molecule is like a bucket of water. The water is like the glycogen molecule and the bucket is like the glucose molecule. Glucose is like the water that is in the bucket and glycogen is like the bucket itself.	glycogen	What is a good analogy to explain glycogen to a business student?
Endoplasmic reticulum is like the mailroom in a business. It is where packages (molecules) are sorted and sent to the correct destination.	endoplasmic reticulum	What is a good analogy to explain endoplasmic reticulum to a business student?
A golgi is like a post office. It is a place where packages are sorted and sent to their destinations.	golgi	What is a good analogy to explain golgi to a business student?
A plasma membrane can be thought of as a company's board of directors. The directors are responsible for making decisions that affect the company as a whole. The plasma membrane is responsible for making decisions that affect the cell as a whole.	plasma membrane	What is a good analogy to explain plasma membrane to a business student?
A lysosome is like a recycling bin in a business. It is where broken down materials are stored until they can be reused.	lysosome	What is a good analogy to explain lysosome to a business student?
Peroxisomes are like the "factories" of the cell. They produce important molecules that the cell needs to function.	peroxisomes	What is a good analogy to explain peroxisomes to a business student?
Mitochondria can be thought of as the "power plants" of the cell. Just as a power plant provides electricity to a city, mitochondria provide energy to the cell.	mitochondria	What is a good analogy to explain mitochondria to a business student?
A chloroplast is like a factory in a business. The chloroplast produces energy in the form of glucose for the business (the plant). The chloroplast also produces oxygen as a by-product. Just like a factory, the chloroplast has workers (the chloroplasts) and a manager (the nucleus).	chloroplast	What is a good analogy to explain chloroplast to a business student?
A cytoskeleton is like the scaffolding inside a building. It helps to hold the cells together and gives them their shape.	cytoskeleton	What is a good analogy to explain cytoskeleton to a business student?
Atp is to a business student as gasoline is to a car.	atp	What is a good analogy to explain atp to a business student?
NADPH is like the gasoline that powers a car. It is used to create energy in the body.	nadph	What is a good analogy to explain nadph to a business student?
A peroxysome is like a small factory inside a cell. It produces molecules called peroxides, which are important for the cell's health.	peroxysome	What is a good analogy to explain peroxysome to a business student?
A good analogy to explain mytochondria to a business student would be to compare it to a company's headquarters. Just as the headquarters is responsible for overseeing all the operations of the company, mytochondria is responsible for overseeing all the operations of the cell. It is also responsible for producing energy for the cell.	mytochondria	What is a good analogy to explain mytochondria to a business student?
Electric forces are like magnets. Just as magnets have a north and south pole, electric charges have a positive and negative pole. Like magnets, electric charges are attracted to each other.	electric forces	What is a good analogy to explain electric forces to a business student?
A hydrogen electron's orbital can be thought of as a company's stock price. Just as the stock price can go up or down, the electron's orbital can be higher or lower in energy.	hydrogen electron's orbital	What is a good analogy to explain hydrogen electron's orbital to a business student?
