Nadh is like a battery in a car. It is the molecule that helps create energy in the body.	nadh	Using an analogy, explain nadh to a social science student.
Proteins are like the bricks in a wall. Just as bricks are used to build a wall, proteins are used to build cells. Cells are the basic building blocks of life.	proteins	Using an analogy, explain proteins to a social science student.
DNA is like a recipe for a cake. The recipe is written down and tells you what ingredients to use and how to put them together. The recipe is like the DNA code. The ingredients are like the DNA bases and the instructions are like the DNA sequence.	dna	Using an analogy, explain dna to a social science student.
Glycogen is like a savings account for the body. It is a type of carbohydrate that the body stores in the liver and muscles. The body can use glycogen to provide energy for activities such as exercise.	glycogen	Using an analogy, explain glycogen to a social science student.
Endoplasmic reticulum is like the postal service. It is a system that delivers packages (molecules) to different parts of the cell.	endoplasmic reticulum	Using an analogy, explain endoplasmic reticulum to a social science student.
Golgi is to the body as the postal service is to the mail. The golgi apparatus is responsible for packaging and shipping proteins out of the cell. Just as the postal service is responsible for getting mail from one place to another, the golgi apparatus is responsible for getting proteins from one part of the cell to another.	golgi	Using an analogy, explain golgi to a social science student.
The plasma membrane can be thought of as a social group's borders. It is the boundary that separates the group from the outside world and determines what information and resources are allowed in and out. The plasma membrane is also responsible for regulating the group's internal environment.	plasma membrane	Using an analogy, explain plasma membrane to a social science student.
Lysosomes are like the recycling bins of the cell. They break down old or damaged proteins and molecules, and recycle the components back into the cell to be used again. This is important for keeping the cell healthy and functioning properly.	lysosome	Using an analogy, explain lysosome to a social science student.
Peroxisomes are like the recycling centers of the cell. They recycle old or damaged proteins, lipids, and carbohydrates.	peroxisomes	Using an analogy, explain peroxisomes to a social science student.
Mitochondria are like the batteries in a car. They provide the energy that the car needs to run. In the same way, mitochondria provide the energy that cells need to run.	mitochondria	Using an analogy, explain mitochondria to a social science student.
A chloroplast is like a small city. It has a lot of different parts that all work together to keep the city running. The chloroplast has a mayor, who is in charge of making sure everything runs smoothly. The chloroplast also has workers, who do all the hard work to keep the city running. The workers are responsible for things like planting crops, cleaning the streets, and fixing the buildings.	chloroplast	Using an analogy, explain chloroplast to a social science student.
The cytoskeleton is like the scaffolding of a building. It helps to hold the cells together and gives them their shape. The cytoskeleton is also responsible for the movement of the cells.	cytoskeleton	Using an analogy, explain cytoskeleton to a social science student.
ATP is like gasoline for a car. It is the energy that is used to make the car move.	atp	Using an analogy, explain atp to a social science student.
NADPH is like the oil in a car engine. It helps the engine run smoothly and efficiently.	nadph	Using an analogy, explain nadph to a social science student.
Peroxysomes are like the recycling centers of the cell. They recycle old or damaged proteins, lipids, and carbohydrates.	peroxysome	Using an analogy, explain peroxysome to a social science student.
Mytochondria are the cells in our body that produce energy. They are similar to the power plants in our society that produce energy for our homes and businesses. Just as we need power plants to have a functioning society, we need mytochondria to have a functioning body.	mytochondria	Using an analogy, explain mytochondria to a social science student.
Electric forces are like magnets. They are attracted to each other and push away from each other.	electric forces	Using an analogy, explain electric forces to a social science student.
The orbital of a hydrogen electron is like a group of people at a party. Some people are standing in the middle of the room, while others are standing on the edges of the room. The people in the middle of the room are the most active, while the people on the edges are less active.	hydrogen electron's orbital	Using an analogy, explain hydrogen electron's orbital to a social science student.
The first line of defense in the body is analogous to the police force in a city. The police are the first line of defense against crime and they are responsible for preventing crime from happening. In the same way, the first line of defense in the body is responsible for preventing pathogens from entering the body. They do this by secreting mucus and other chemicals that kill pathogens and by engulfing them in cells called phagocytes.	first line of defense in the body	Using an analogy, explain first line of defense in the body to a social science student.
Macrophages are like the police force of the body. They patrol the body and look for things that don't belong, like bacteria or viruses. When they find something, they attack and destroy it.	macrophages	Using an analogy, explain macrophages to a social science student.
T-helper cells are like the police officers of the immune system. They help to coordinate the activities of other cells in the immune system and help to fight off infection.	t-helper cells	Using an analogy, explain t-helper cells to a social science student.
B-lymphocytes are like the police force in a city. They are responsible for patrolling the city and keeping it safe. They respond to threats and help to protect the city from harm.	b-lymphocytes	Using an analogy, explain b-lymphocytes to a social science student.
Cytotoxic T-lymphocytes are like the police force of the immune system. They patrol the body and identify and destroy cells that are not supposed to be there.	cytotoxic t-lymphocytes	Using an analogy, explain cytotoxic t-lymphocytes to a social science student.
Bacteria are like tiny invaders that can cause infection and illness. Just as an army can invade and take over a country, bacteria can invade and take over the body, causing illness.	invasion of bacterias	Using an analogy, explain invasion of bacterias to a social science student.
Action potential is like a light switch. When it is turned on, it allows current to flow through the light bulb. When it is turned off, the current is blocked.	action potential	Using an analogy, explain action potential to a social science student.
Chromatography is a technique used to separate the components of a mixture. The mixture is placed on a strip of paper and the different components travel along the paper at different speeds. This allows the components to be separated and identified.	experiment of chromatography	Using an analogy, explain experiment of chromatography to a social science student.
