Nadh is like the oxygen in the air. It is necessary for life and is found in all living things.	nadh	Using a social science analogy, explain nadh.
Proteins are like the bricks and mortar of the body. They are the building blocks of life. Proteins are made up of amino acids, and they are responsible for everything from muscle growth to hormone production.	proteins	Using a social science analogy, explain proteins.
DNA is like a recipe for a cake. It is a set of instructions that tells the body how to create a particular protein.	dna	Using a social science analogy, explain dna.
Glycogen is a storage molecule for glucose in the body. It is made up of chains of glucose molecules and is stored in the liver and muscles. Glycogen is used to provide energy for the body, especially during exercise.	glycogen	Using a social science analogy, explain glycogen.
Endoplasmic reticulum is like the postal service in a city. It is a system of tubes and sacs that carry messages (in the form of proteins) between the cells' nucleus and the rest of the cell.	endoplasmic reticulum	Using a social science analogy, explain endoplasmic reticulum.
Golgi is the brain of the cell. It is responsible for receiving and processing information from the cell's surface and transmitting it to the nucleus.	golgi	Using a social science analogy, explain golgi.
The plasma membrane is like a border patrol. It is responsible for letting some things in and keeping other things out. The things that are allowed in and out are determined by what is needed or not needed by the cell. The plasma membrane is also responsible for cell communication.	plasma membrane	Using a social science analogy, explain plasma membrane.
Lysosomes are like the garbage collectors of the cell. They break down old or damaged proteins and other cellular components into their component parts. This allows the cell to recycle these materials and use them to build new proteins and other cellular components.	lysosome	Using a social science analogy, explain lysosome.
Peroxisomes are like the cells of the social sciences. They are small and numerous, and they play a major role in the functioning of the larger entity. In the case of peroxisomes, they play a major role in the metabolism of the cell.	peroxisomes	Using a social science analogy, explain peroxisomes.
Mitochondria are like the cells' power plants. They take in nutrients, break them down, and create energy that the cells can use.	mitochondria	Using a social science analogy, explain mitochondria.
A chloroplast is a small organelle in a plant cell that is responsible for photosynthesis. It contains the green pigment chlorophyll, which absorbs sunlight and uses it to convert carbon dioxide and water into glucose and oxygen.	chloroplast	Using a social science analogy, explain chloroplast.
The cytoskeleton is like the scaffolding of a building. It provides the structure that the cells need to stay organized and function properly. The cytoskeleton is made up of proteins that form a network inside the cell. This network helps to control the shape and movement of the cell.	cytoskeleton	Using a social science analogy, explain cytoskeleton.
